x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
2.495,1.0091992383400548,1.0120496570396644,0.008746999259162941,0.004344789949969943,1.0128789336760768,1.0091901821049,1.012,0.0087298243358147,0.0043910319900685,1.0128971061777
2.505,1.0090291619203255,1.0115559154056604,0.008576922839433732,0.003851048315966032,1.012640826688456,1.0090362137257,1.012,0.0085787460132571,0.0038977083654535,1.0126813056434
2.515,1.0088234515235286,1.011016567852946,0.00837299722368059,0.0033421083536356103,1.01235283213294,1.0088449015606,1.01,0.0083927394737851,0.0033885770751879,1.0124128198441
2.525,1.0085829189946198,1.010433742939907,0.008136027213144159,0.0028199786164974858,1.0120160865924677,1.00861467016,1.014,0.0081698012670699,0.0028651031949761,1.0120894568101
2.535,1.0083085136056018,1.009809740810208,0.007866948020194702,0.0022867197120857,1.0116319190478427,1.0083453443365,1.017,0.007910953100716,0.0023254352945962,1.0117110410228
2.545,1.0080013183091814,1.0091470241151752,0.007566821577476221,0.001744436169673188,1.011201845632854,1.0080424425485,1.009,0.007615777947032,0.001776897912047,1.011285155831
2.555,1.0076625454648493,1.0084482082948378,0.007236832346943391,0.0011952681346560552,1.010727563650789,1.0077038853751,1.01,0.0072913242900061,0.0012238659716227,1.0108089046996
2.565,1.0072935320542515,1.00771605125598,0.006878282645331385,0.0006413829223775027,1.010210944875952,1.0073365390162,1.0070000000000001,0.0069353080296753,0.00066673311047166,1.010292013458
2.575,1.0068957344047333,1.0069534424879432,0.006492587504506665,8.496646472428045e-05,1.0096540281666266,1.0069399717518,1.0070000000000001,0.0065524126822529,0.00010638115057599,1.0097339439747
2.585,1.0064707224418812,1.0061633916591322,0.0060812690869827876,-0.0004717853167476608,1.0090590114186335,1.006515897661,1.006,0.0061440439158447,-0.00045397040096719,1.0091371436417
2.595,1.0060201734937426,1.0053490167392283,0.005645950678640111,-0.0010266751771126708,1.0084282428912397,1.0060667045753,1.004,0.0057103590740054,-0.0010123423547044,1.0085049972988
